product_name,price,source,product_url,image_url
Intel processer 4 gb ram,Rs. 15000,olx.in,https://www.olx.in/item/intel-processer-4-gb-ram-ID1fyUNH.html#4cd7ea0b57,https://img01.olx.in/images_olxin/424266523_1_144x108_intel-processer-4-gb-ram-hyderabad.jpg
** BRANDED DELL ** Intel Core i 5 -- Professional Laptop -- 13500/-,Rs. 13500,olx.in,https://www.olx.in/item/branded-dell-intel-core-i-5-professional-laptop-13500-ID1bYq8R.html#4cd7ea0b57,https://img01.olx.in/images_olxin/334756225_1_144x108_-branded-dell-intel-core-i-5-professional-laptop-13500-delhi.jpg
Intel Core 2 Duo HP Branded PC,Rs. 6500,olx.in,https://www.olx.in/item/intel-core-2-duo-hp-branded-pc-ID1eLfTX.html#4cd7ea0b57,https://img01.olx.in/images_olxin/403555193_1_144x108_intel-core-2-duo-hp-branded-pc-surat.jpg
"New Dual Core Desktop with 4GB,500GB,19""ACER LED(3year warranty)12250",Rs. 12250,olx.in,https://www.olx.in/item/new-dual-core-desktop-with-4gb-500gb-19-acer-led3year-warranty12250-ID1fyULj.html#4cd7ea0b57,https://img01.olx.in/images_olxin/424266101_1_144x108_new-dual-core-desktop-with-4gb500gb19acer-led3year-warranty12250-kochi.jpg
Refurbished laptops Dell E4310 I3 processor like new in good condition,Rs. 15000,olx.in,https://www.olx.in/item/refurbished-laptops-dell-e4310-i3-processor-like-new-in-good-condition-ID1f36Rj.html#4cd7ea0b57,https://img01.olx.in/images_olxin/410946549_1_144x108_refurbished-laptops-dell-e4310-i3-processor-like-new-in-good-condition-ahmedabad.jpg
Lenovo Laptop Core 2 Duo // RAM : 2 GB // HDD : 250 GB // A++ Laptop,Rs. 9999,olx.in,https://www.olx.in/item/lenovo-laptop-core-2-duo-ram-2-gb-hdd-250-gb-a-laptop-ID17Us2B.html#4cd7ea0b57,https://img04.olx.in/images_olxin/240700489_2_144x108_lenovo-laptop-core-2-duo-ram-2-gb-hdd-250-gb-a-laptop-upload-photos_rev003.jpg
8GB DDR3 Laptop RAMs,Rs. 3000,olx.in,https://www.olx.in/item/8gb-ddr3-laptop-rams-ID1fyUHN.html#4cd7ea0b57,https://img01.olx.in/images_olxin/424265849_1_144x108_8gb-ddr3-laptop-rams-hyderabad.jpg
8gb ram 500 GB hardisk gaming laptop,Rs. 32000,olx.in,https://www.olx.in/item/8gb-ram-500-gb-hardisk-gaming-laptop-ID1fyUFR.html#4cd7ea0b57,https://img01.olx.in/images_olxin/424265663_1_144x108_8gb-ram-500-gb-hardisk-gaming-laptop-bengaluru.jpg
BRAND : DELL LATITUDE E 6430 Intel Core i 5 - With Warranty Box Pack,Rs. 18499,olx.in,https://www.olx.in/item/brand-dell-latitude-e-6430-intel-core-i-5-with-warranty-box-pack-ID1cdWjt.html#4cd7ea0b57,https://img03.olx.in/images_olxin/340694073_1_144x108_brand-dell-latitude-e-6430-intel-core-i-5-with-warranty-box-pack-delhi_rev001.jpg
Brand New sealed macbook air 13 inches,Rs. 55000,olx.in,https://www.olx.in/item/brand-new-sealed-macbook-air-13-inches-ID1fyUyD.html#4cd7ea0b57,https://img01.olx.in/images_olxin/424264975_1_144x108_brand-new-sealed-macbook-air-13-inches-hyderabad.jpg
Highend desktop + 21'led monitor + creative speakers + UPS + Table,Rs. 32000,olx.in,https://www.olx.in/item/highend-desktop-21led-monitor-creative-speakers-ups-table-ID1fyUzn.html#4cd7ea0b57,https://img01.olx.in/images_olxin/424264865_1_144x108_highend-desktop-21led-monitor-creative-speakers-ups-table-bengaluru.jpg
Designed By Dell E 6410 Intel Core i 5 Laptop In Just Rs. - 13999,Rs. 13999,olx.in,https://www.olx.in/item/designed-by-dell-e-6410-intel-core-i-5-laptop-in-just-rs-13999-ID17cbJq.html#4cd7ea0b57,https://img02.olx.in/images_olxin/225152325_3_144x108_designed-by-dell-e-6410-intel-core-i-5-laptop-in-just-rs-13999-computers-laptops_rev003.jpg
Lenovo i5 3rd gen Laptop,Rs. 15000,olx.in,https://www.olx.in/item/lenovo-i5-3rd-gen-laptop-ID1cj73Z.html#4cd7ea0b57,https://img05.olx.in/images_olxin/342709053_2_144x108_lenovo-i5-3rd-gen-laptop-upload-photos.jpg
"SLimmest Ultrabook Ever Hp Folio 9470M,Core i7,3rd Gen,8GB/180GB SSD",Rs. 28900,olx.in,https://www.olx.in/item/slimmest-ultrabook-ever-hp-folio-9470m-core-i7-3rd-gen-8gb-180gb-ssd-ID17d4DQ.html#4cd7ea0b57,https://img01.olx.in/images_olxin/225465297_1_144x108_slimmest-ultrabook-ever-hp-folio-9470mcore-i73rd-gen8gb-180gb-ssd-noida.jpg
sony vaio 15 inch laptop for urgent sale,Rs. 11500,olx.in,https://www.olx.in/item/sony-vaio-15-inch-laptop-for-urgent-sale-ID1fyUt7.html#4cd7ea0b57,https://img01.olx.in/images_olxin/424264243_1_144x108_sony-vaio-15-inch-laptop-for-urgent-sale-ernakulam.jpg
"Like New Box Pack Hp Elitebook 840 G1,Core i 5 4th Gen.,8GB /320GB SSD",Rs. 25999,olx.in,https://www.olx.in/item/like-new-box-pack-hp-elitebook-840-g1-core-i-5-4th-gen-8gb-320gb-ssd-ID1cWuDJ.html#4cd7ea0b57,https://img02.olx.in/images_olxin/357763707_1_144x108_like-new-box-pack-hp-elitebook-840-g1core-i-5-4th-gen8gb-320gb-ssd-delhi.jpg
Computer table for sale,Rs. 3500,olx.in,https://www.olx.in/item/computer-table-for-sale-ID1fyUpn.html#4cd7ea0b57,https://img01.olx.in/images_olxin/424263767_1_144x108_computer-table-for-sale-bengaluru_rev004.jpg
i3 4gb.320 HDD 7.5.six.1o5.2.3.4.2,Rs. 12000,olx.in,https://www.olx.in/item/i3-4gb-320-hdd-7-5-six-1o5-2-3-4-2-ID1fyUqJ.html#4cd7ea0b57,https://img01.olx.in/images_olxin/424264075_1_144x108_i3-4gb320-hdd-75six1o52342-arookutty.jpg
